feature,score
q25_intensity,1083.2989520456458
median_intensity,1076.2099668438314
mean_intensity,931.4408892387706
haralick_6,931.4408892387706
texture_homogeneity,931.4408892387706
lbp_hist_1,638.4202359044427
haralick_3,544.7804880081248
texture_correlation,544.7804880081248
haralick_7,524.7494386043861
haralick_4,524.7494386043861
haralick_2,524.7494386043861
std_intensity,497.84504599869155
texture_contrast,497.84504599869155
haralick_8,435.67989817009334
q75_intensity,418.41662177059624
haralick_5,407.115367276732
haralick_1,368.14494155799116
texture_energy,368.14494155799116
lbp_hist_3,359.6446002816405
lbp_hist_8,356.7532496189434
lbp_hist_10,333.96094868471073
lbp_hist_5,318.67967227410674
lbp_hist_6,272.36408356518143
lbp_hist_7,258.92584789941543
lbp_hist_4,230.01986559630225
lbp_hist_9,193.05791439577615
lbp_hist_2,153.97922856925402
edge_density,144.87767134901787
max_intensity,77.8143818781253
min_intensity,
